Key,Item Type,Publication Year,Author,Title,Publication Title,Url,Abstract Note,Date,Num Pages,Short Title,Series,Publisher,Place,Lat/Long,,Language,Rights,Library Catalog,Call Number,Extra,File Attachments,Link Attachments,Manual Tags,Automatic Tags
QETHW5G2,book,2018,"Hartnell, Jack; Wellcome Collection","Medieval Bodies: life, death, and art in the Middle Ages",,,"Dripping with blood and gold, fetishized and tortured, gateway to earthly delights and point of contact with the divine, forcibly divided and powerful even beyond death, there was no territory more contested than the body in the medieval world. In Medieval Bodies, art historian Jack Hartnell uncovers the complex and fascinating ways in which the people of the Middle Ages thought about, explored and experienced their physical selves. In paintings and reliquaries that celebrated the - sometimes bizarre - martyrdoms of saints, the sacred dimension of the physical left its mark on their environment. In literature and politics, hearts and heads became powerful metaphors that shaped governance and society in ways that are still visible today. And doctors and natural philosophers were at the centre of a collision between centuries of sophisticated medical knowledge, and an ignorance of physiology as profound as its results were gruesome. Like a medieval pageant, this striking and unusual history brings together medicine, art, poetry, music, politics, cultural and social history and philosophy to reveal what life was really like for the men and women who lived and died in the Middle Ages",2018,345,Medieval Bodies,,Profile Books : Wellcome Collection,London,,,,,Library Catalog (Blacklight),GT495 .H37 2018,OCLC: 1019639579,,https://catalog.libraries.psu.edu/catalog/25338936,physical,"Civilization, Medieval; History; History, Medieval; Human body; Human Body; Medicine in the Arts; Medicine, Medieval; Medieval; Social aspects; Social aspects History"
4PV6ED9T,book,2000,"Kleinschmidt, Harald",Understanding the middle ages: the transformation of ideas and attitudes in the medieval world,,,,2000,401,Understanding the middle ages,,Boydell Press,"Woodbridge, UK ; Rochester, NY",,,,,Library Catalog (Blacklight),,,,https://catalog.libraries.psu.edu/catalog/2023020,physical,"Civilization, Medieval; Europe; Group identity; History; Medieval, 500-1500; Philosophy, Medieval; Social history; Written communication"
VPE6WK2M,book,2004,"Cook, William R.; Herzman, Ronald B.",The medieval world view: an introduction,,,,2004,325,The medieval world view,,Oxford University Press,New York,,,,,Library Catalog (Blacklight),CB351 .C58 2004,OCLC: 50339486,,https://catalog.libraries.psu.edu/catalog/2474266,physical,"Civilization, Medieval"
7JDF9VQE,book,1976,"Erickson, Carolly",The medieval vision: essays in history and perception,,,,1976,247,The medieval vision,,Oxford University Press,New York,,,,,Library Catalog (Blacklight),CB351 .E76,,,https://catalog.libraries.psu.edu/catalog/1178252,physical,"Civilization, Medieval; Middle Ages, 600-1500; Religious thought"
CQB4GHHJ,book,1973,"Cantor, Norman F.",The meaning of the Middle Ages: a sociological and cultural history,,,,1973,321,The meaning of the Middle Ages,,Allyn and Bacon,Boston,,,,,Library Catalog (Blacklight),CB351 .C25,,,https://catalog.libraries.psu.edu/catalog/1159796,physical,"Civilization, Medieval"
7Q92HVDW,book,1957,"Laistner, M. L. W.",The intellectual heritage of the early Middle Ages,,,,1957,285,,,Octagon Books,New York,,,,,Library Catalog (Blacklight),CB351 .L26 1966,,,https://catalog.libraries.psu.edu/catalog/1159800,physical,Intellectual life; Middle Ages
CDV7CVAP,book,1926,"Jarrett, Bede","Social theories of the middle ages, 1200-1500",,,,1926,280,,The Library of European political thought,"Little, Brown, and company",Boston,,,,,Library Catalog (Blacklight),CB351.J,,,https://catalog.libraries.psu.edu/catalog/1291787,physical,"Civilization, Medieval; Medieval, 500-1500; Social history"
UG8Z3398,book,1958,"Bark, William Carroll",Origins of the medieval world,,,,1958,162,,"Stanford studies in history, economics, and political science",Stanford University Press,Stanford,,,,,Library Catalog (Blacklight),CB351 .B38,,,https://catalog.libraries.psu.edu/catalog/995959,physical,Middle Ages
MUFSE9NK,book,2006,"Cahill, Thomas; Cahill, Thomas","Mysteries of the Middle Ages: the rise of feminism, science, and art from the cults of Catholic Europe",,,"After the long period of cultural decline known as the Dark Ages, Europe experienced a rebirth of scholarship, art, literature, philosophy, and science and began to develop a vision of Western society that remains at the heart of Western civilization today. On visits to the great cities of Europe--monumental Rome; the intellectually explosive Paris of Peter Abelard and Thomas Aquinas; the hotbed of scientific study that was Oxford; and the incomparable Florence of Dante and Giotto--Cahill captures the spirit of experimentation, the colorful pageantry, and the passionate pursuit of knowledge that built the foundations for the modern world.--From publisher description",2006,343,Mysteries of the Middle Ages,The hinges of history,N.A. Talese,New York,,,,,Library Catalog (Blacklight),CB351 .C22 2006,OCLC: 65820500,,,physical,"Civilization, Medieval; Europe; History; Art, Medieval; Middle Ages, 500-1500; Science, Medieval; Women"
6ETU9XWR,book,1993,,Medieval Culture and Society,,,"This anthology of judiciously selected sources concerned with medieval society and culture presents an intriguing view of Western society from its emergence as a distinctively ""European"" culture in the early Middle Ages (ca. 500-1000), to the burgeoning scholarship and literary and artistic expression of the central Middle Ages (ca. 1000-1350), and the dislocations and disasters of the closing Middle Ages (ca. 1350-1500). The documents presented for each period are intended to serve two purposes: an initial selection illustrates the society and the social milieu of the period, while the second group of readings provides examples of the chief forms of literary expression and illuminates some of the characteristic cultural attitudes of the age. Many ideas and ideals of the Middle Ages have exerted a permanent influence upon the culture of the modern world and have been a permanent source of enrichment for it. Readers will come away from this collection moved to a deeper appreciation of this truly fascinating period of history, as well as a wider interest in the rich and still living heritage of the medieval world.",1993-01-01,,,,Waveland Pr Inc,,,,English,,Amazon,,,,https://www.amazon.com/Medieval-Culture-Society-David-Herlihy/dp/0881337471,physical,
39XWHPDN,book,1968,"Russell, Jeffrey Burton",Medieval civilization,,,,1968,635,,,Wiley,New York,,,,,Library Catalog (Blacklight),CB351 .R8,,,https://catalog.libraries.psu.edu/catalog/765929,physical,"Civilization, Medieval"
M7VDCUQL,book,1970,"Bishop, Morris",The Middle Ages,,,,1970,386,,,American Heritage Press,New York,,,,,Library Catalog (Blacklight),CB351 .B48 1970,,,https://catalog.libraries.psu.edu/catalog/641626,InterWeb,"Civilization, Medieval"
24DDYZZL,book,1991,"Borst, Arno","Medieval worlds: barbarians, heretics and artists in the Middle Ages",,,,1991,273,Medieval worlds,,Polity Press,"Cambridge, UK",,,,,Library Catalog (Blacklight),,,,https://catalog.libraries.psu.edu/catalog/1628504,InterWeb,"476-1492; Civilization, Medieval; Europe; History"
U6CUTHGW,book,1872,"Jacob, P. L.",Science and literature in the middle ages and at the period of the renaissance,,,,187,552,,,Bickers and son,London,,,,,Library Catalog (Blacklight),,,,https://catalog.libraries.psu.edu/catalog/3737,InterWeb,"Art, Medieval; Literature, Medieval; Middle Ages; Renaissance; Science, Medieval"
4B69WFQL,book,1992,"Ross, Cynthia; Buhler, Cheryl; Ross, Cynthia",Medieval times,,,,1992,80,,,"Teacher Created Materials, Inc","Huntington Beach, CA",,,,,Library Catalog (Blacklight),,OCLC: 37955543,,https://catalog.libraries.psu.edu/catalog/2428347,InterWeb,Language experience approach; Language experience approach in education; Middle Ages; Reading; Study and teaching (Primary) Activity programs
EBXZ8N33,book,1953,"Southern, R. W.",The making of the Middle Ages,,,,1953,280,,,Yale Univ. Press,New Haven ; London,,,,,Library Catalog (Blacklight),CB351 .S6 1953a,,,https://catalog.libraries.psu.edu/catalog/807842,InterWeb,Middle Ages
7ASMFSMU,book,1964,"Jacob, P. L.",Science and literature in the Middle Ages and the Renaissance,,,,1964,552,,,F. Ungar Pub. Co,New York,,,,,Library Catalog (Blacklight),CB351 .L22 1964,,,https://catalog.libraries.psu.edu/catalog/807819,InterWeb,"Art, Medieval; History; Literature, Medieval; Middle Ages; Renaissance; Science"
8ZZQ63HX,webpage,2025,"Williams, Aubrey",Library Guides: History : Medieval: Articles,,https://guides.lib.uw.edu/research/history-medieval/articles,A research guide to primary and secondary sources for medieval history in Europe and the Mediterranean basin.,,,Library Guides,,,,,,en,Copyright University of Washington Libraries 2025,,,,/Users/maj/Zotero/storage/LDXF6BGI/articles.html,,web,
H9A73X4N,webpage,2021,"Virginia A. Cole, Ph D.",LibGuides: Medieval Studies: A guide to library research at Cornell: Published Primary Sources,,https://guides.library.cornell.edu/medieval/primary,LibGuides: Medieval Studies: A guide to library research at Cornell: Published Primary Sources,,,LibGuides,,,,,,en,Copyright Cornell University 2025,,,,/Users/maj/Zotero/storage/5N5UIICR/primary.html,,web,
5BGIMHA7,webpage,2025,,"Middle Ages | Definition, Dates, Characteristics, & Facts | Britannica",,https://www.britannica.com/event/Middle-Ages,,,,,,,,,,,,,,,/Users/maj/Zotero/storage/D9FX6QKZ/Middle-Ages.html,,web,
